Województwo zameldowania na pobyt stały,Nazwisko aktualne,Liczba
DOLNOŚLĄSKIE,CZERNIAK,283
DOLNOŚLĄSKIE,STRZELCZYK,283
DOLNOŚLĄSKIE,MOKRZYCKI,282
DOLNOŚLĄSKIE,BARTOSIK,281
DOLNOŚLĄSKIE,TURKIEWICZ,281
DOLNOŚLĄSKIE,PAKUŁA,280
DOLNOŚLĄSKIE,PATER,280
DOLNOŚLĄSKIE,PAWLIKOWSKI,280
DOLNOŚLĄSKIE,WOLNY,280
DOLNOŚLĄSKIE,LASOTA,279
DOLNOŚLĄSKIE,KONOPKA,278
DOLNOŚLĄSKIE,KRYSIAK,278
DOLNOŚLĄSKIE,KUŚNIERZ,278
DOLNOŚLĄSKIE,MALICKI,278
DOLNOŚLĄSKIE,ZABŁOCKI,278
DOLNOŚLĄSKIE,CZECHOWSKI,277
DOLNOŚLĄSKIE,DOMARADZKI,277
DOLNOŚLĄSKIE,JURKIEWICZ,277
DOLNOŚLĄSKIE,WIĘCKOWSKI,277
DOLNOŚLĄSKIE,WÓJCICKI,277
DOLNOŚLĄSKIE,DĄBEK,276
DOLNOŚLĄSKIE,KĘDZIORA,276
DOLNOŚLĄSKIE,RAJCZAKOWSKI,276
DOLNOŚLĄSKIE,CISZEWSKI,275
DOLNOŚLĄSKIE,PIECH,275
DOLNOŚLĄSKIE,POTOCKI,275
DOLNOŚLĄSKIE,CHUDZIK,274
DOLNOŚLĄSKIE,GODLEWSKI,274
DOLNOŚLĄSKIE,TRZCIŃSKI,274
DOLNOŚLĄSKIE,KAWA,273
DOLNOŚLĄSKIE,KURZAWA,272
DOLNOŚLĄSKIE,ROJEK,271
DOLNOŚLĄSKIE,STAŃCZYK,271
DOLNOŚLĄSKIE,DZIUBA,270
DOLNOŚLĄSKIE,FRĄCZEK,270
DOLNOŚLĄSKIE,JAGODZIŃSKI,270
DOLNOŚLĄSKIE,JANUSZKIEWICZ,270
DOLNOŚLĄSKIE,PRZYBYSZ,270
DOLNOŚLĄSKIE,KARCZEWSKI,269
DOLNOŚLĄSKIE,WOŚ,269
DOLNOŚLĄSKIE,BERNACKI,268
DOLNOŚLĄSKIE,NIEWIADOMSKI,268
